deck	index	type	name	cost	totalCost$	effect
Alley	1	Card	Combat Training	30	30	 +5% Bullet Damage, +50% Bullet Penetration
Alley	2	Card	Ammo Belt	45	75	 +50% Ammo Capacity, -20% Stamina Efficiency
Alley	3	Card	HI Vis Sights	30	105	 +30% Aim Speed
Alley	4	Card	Front Sight Focus	30	135	 +20% Accuracy 
Alley	5	Card	Grenade Pouch	30	165	 +1 Offensive Inventory
Alley	6	Card	Ammo for All	100	265	 +10% Team Ammo Capacity 
Alley	7	Card	Large Caliber Rounds	45	310	 +7.5% Bullet Damage, +100% Bullet Penetration, -20% Stamina Efficiency 
Alley	8	Card	Widemouth Magwell	45	355	 +30% Reload Speed, -5% Damage Resistance
Alley	9	Card	Offensive Scavenger	100	455	You can sense nearby Offensive Accessories. More Offensive Accessories spawn.
Alley	10	Card	Ammo Mule	70	525	 +75% Ammo Capacity, DISABLES: Support Accessories
Alley	11	Card	Grenade Training	30	555	 +25% Accessory Damage
Alley	12	Card	Optics Enthusiast	45	600	 +30% Accuracy, -20% Stamina Efficiency 
Alley	13	Card	Batter Up	30	630	 +40% Melee Damage, +5 Health
Alley	14	Card	Avenge The Fallen	100	730	When you or a teammate becomes incapacitated, all teammates gain 30% Damage, 20% Reload Speed, and Unlimited Ammo for 10 Seconds.
Alley	15	Card	Patient Hunter	70	800	Each second you Aim Down Sights increases your Damage by 10% (up to 3 stacks).
Alley	16	Card	Double Grenade Pouch	45	845	 +2 Offensive Inventory, -10% Damage Dealt
Alley	17	Card	Down in Front!	100	945	While Crouching you neither take nor deal Friendly Fire damage. +10 Health
Alley	18	Card	Demolitions Expert	45	990	 +50% Accessory Damage, -15% Ammo Capacity 
Alley	19	Card	Mag Coupler	70	1060	 +50% Reload Speed, DISABLES: Aim Down Sights
Alley	20	Card	Two is One and One is None	100	1160	You can equip a Primary weapon in your Secondary slot. -25% Swap speed
Alley	21	Card	Spiky Bits	45	1205	 +20% Melee Damage, +10% Damage Resistance while using a Melee weapon, -15% Ammo Capacity
Alley	22	Card	Silver Bullets	70	1275	 +10% Bullet Damage, +150% Bullet Penetration, When you kill a Mutation, you lose 5 Copper
Alley	23	Card	Steady Aim	70	1345	 +80% Aim Speed, -50% ADS Move Speed
Alley	24	Card	Admin Reload	100	1445	When you stow your weapon, it reloads. -15% Ammo Capacity 
Alley	25	Card	Money Grubbers	70	1515	Each time your team loots Copper, you can gain 3 additional Copper, stacking up to 75 additional Copper
Alley	26	Card	Surplus Pouches	70	1585	 -10% Health, +1 Team Offensive Accessory
Alley	27	Card	Weapon Scavenger	70	1655	You can sense nearby Weapons. More weapons spawn
Alley	28	Card	Vanguard	100	1755	Melee kills grant 1 Temporary Health to you and nearby teammates.
Alley	29	Card	Quick Kill	70	1825	 +50% Accuracy, DISABLES: Aim Down Sights
Alley	30	Card	Chemical courage	70	1895	Pain meds you apply also grant +25% Damage for 60 Seconds.
Alley	31	Card	Power reload	150	2045	Reloading a gun within 0.75 Seconds of reaching low ammo will increase its magazine size by 30% until the next reload.
Alley	32	Card	Hunker down	100	2145	While Crouching, gain 10% Damage Resistance and 40% Accuracy
Alley	33	Card	Glass Cannon	150	2295	 +25% Damage, -30 Health 
Alley	34	Card	Marked for Death	150	2445	Mutations you Ping are highlighted and your team deals 10% increased damage to highlighted enemies.
Alley	35	Card	Highwayman	100	2545	Pistol Kills have a 2% Chance to Spawn Ammo.
Alley	36	Card	Ignore the Pain	100	2645	 +20% Melee Damage against Mutations. When you deal Melee damage to a Mutation heal 1 Health and recover 3 Stamina.
Alley	37	Card	Bomb Squad	100	2745	 +100% Explosive Damage, +35% Explosive Resistance
Alley	38	Card	Face your Fears	100	2845	Gain 2 Temporary Health whenever you kill a Ridden within 2 meters.
Alley	39	Card	Needs of the Many	100	2945	 -20% Health, +1 Team Extra Life
Alley	40	Card	Trigger Control	100	3045	 +25% Accuracy with Assault Rifles and Sniper Rifles.
Alley	41	Card	Improvised Explosives	70	3115	 +75% Accessory Damage, -25% Swap Speed
Alley	42	Card	Killer's Instinct	70	3185	 +30% Weakspot Damage. DISABLES: Aim Down Sights
Alley	43	Card	In the Zone	100	3285	Precision Kills grant 5% Reload Speed for 5 Seconds (stacking up to 10 times).
Alley	44	Card	Controlled Movement	100	3385	 +40% Movement Speed while aiming down sights with Sniper Rifles.
Alley	45	Card	Scattergun Skills	100	3485	 +40% Reload Speed with Shotguns.
Alley	46	Card	Share the Wealth	100	3585	Each teammate gets 100 Bonus Copper at the start of each level.
Clinic	1	Card	Motorcycle Jacket	30	30	 +5% Damage Resistance, +5 Health
Clinic	2	Card	Durable	30	60	 +15% Trauma Resistance  +5 Health
Clinic	3	Card	Poultice	70	130	When you use a medical accessory, the target heals for an additional 20 Health over 30 Seconds.
Clinic	4	Card	EMT Bag	45	175	 +40% Healing Efficiency  -20% Stamina Recovery
Clinic	5	Card	Inspiring Sacrifice	100	275	When you or a teammate becomes incapacitated, All teammates heal for 20 Health over 15 Seconds.
