index,name,version,cardName,cost
1,The Crow's Nest,1,Cross Trainers,10
2,The Crow's Nest,1,Ridden Slayer,30
3,The Crow's Nest,1,Shooting Gloves,30
4,The Crow's Nest,1,Superior Cardio,30
5,The Crow's Nest,1,Evasive Action,70
6,The Crow's Nest,1,Run and Gun,150
7,Bridge Town,1,Screwdriver,30
8,Bridge Town,1,Energy Bar,30
9,Bridge Town,1,Utility Scavenger,100
10,Bridge Town,1,Dash,30
11,Knuckle House,1,Rolling Thunder,100
12,Knuckle House,1,Reckless Strategy,45
13,Knuckle House,1,Breakout,100
14,Knuckle House,1,Fleet of Foot,45
15,Knuckle House,1,Pep In Your Step,70
16,The Crow's Nest,2,Guns Out,45
17,The Crow's Nest,2,Tunnel Vision,45
18,The Crow's Nest,2,Energy Drink,45
19,The Crow's Nest,2,"Marathon Runner",100
20,Bridge Town,2,Brazen,45
21,Bridge Town,2,Sadistic,100
22,Bridge Town,2,Olympic Sprinter,45
23,Bridge Town,2,Ammo Stash,100
24,Bridge Town,2,Compound Interest,100
25,Knuckle House,2,Cocky,70
26,Knuckle House,2,Mandatory PT,100
27,Knuckle House,2,Mugger,100
28,Knuckle House,2,Mean Drunk,70
29,Knuckle House,2,Multitool,45
30,The Crow's Nest,3,Stimulants,45
31,The Crow's Nest,3,Meth Head,70
32,The Crow's Nest,3,Shredder,150
33,Bridge Town,3,Reckless,70
34,Bridge Town,3,Run Like Hell,70
35,Bridge Town,3,Power Swap,150
36,Bridge Town,3,Rhythmic Breathing,70
37,Bridge Town,3,On your Mark...,45
38,Bridge Town,3,Fire in the Hole!,100
39,Bridge Town,3,Headband Magnifier,70
40,Knuckle House,3,Cold Brew Coffee,70
41,Knuckle House,3,Hyper-Focused,70
42,Knuckle House,3,Knowledge is Power,100
43,Crow's Nest,4,Bounty Hunter,100
44,Crow's Nest,4,Speed Demon,100
45,Crow's Nest,4,Natural Sprinter,70
46,Bridge Town,4,Hellfire,100
47,The Crow's Nest,5,Mad Dash,75
48,Bridge Town,5,Hazard Pay,75
