index,name,version,cardName,cost
1,Paul's Alley,1,Combat Training,30
2,Paul's Alley,1,Ammo Belt,45
3,Paul's Alley,1,HI Vis Sights,30
4,Paul's Alley,1,Front Sight Focus,30
5,Paul's Alley,1,Grenade Pouch,30
6,Paul's Alley,1,Ammo for All,100
7,The Stilts,1,Large Caliber Rounds,45
8,The Stilts,1,Widemouth magwell,45
9,The Stilts,1,Offensive Scavenger,100
10,The Stilts,1,Ammo Mule,70
11,Fort Hope,1,Grenade Training,30
12,Fort Hope,1,Optics Enthusiast,45
13,Fort Hope,1,Batter Up,30
14,Fort Hope,1,Avenge The Fallen,100
15,Fort Hope,1,Patient Hunter,70
16,Paul's Alley,2,Double Grenade Pouch,45
17,Paul's Alley,2,Down in Front!,100
18,Paul's Alley,2,Demolitions Expert,45
19,Paul's Alley,2,Mag Coupler,70
20,Paul's Alley,2,Two is One and One is None,100
21,The Stilts,2,Spiky Bits,45
22,The Stilts,2,Silver Bullets,70
23,The Stilts,2,Steady Aim,70
24,The Stilts,2,Admin Reload,100
25,The Stilts,2,Money Grubbers,70
26,Fort Hope,2,Surplus Pouches,70
27,Fort Hope,2,Weapon Scavenger,70
28,Fort Hope,2,Vanguard,100
29,Fort Hope,2,Quick Kill,70
30,Paul's Alley,3,Chemical courage,70
31,Paul's Alley,3,Power reload,150
32,Paul's Alley,3,Hunker down,100
33,Paul's Alley,3,Glass cannon,150
34,Paul's Alley,3,Marked for Death,150
35,The Stilts,3,Highwayman,100
36,The Stilts,3,Ignore the Pain,100
37,The Stilts,3,Bomb Squad,100
38,The Stilts,3,Face your Fears,100
39,The Stilts,3,Needs of the Many,100
40,Fort Hope,3,Trigger Control,100
41,Fort Hope,3,Improvised Explosives,70
42,Fort Hope,3,Killer's Instinct,70
43,Paul's Alley,4,In the Zone,100
44,Paul's Alley,4,Controlled Movement,100
45,Paul's Alley,4,Scattergun Skills,100
46,The Stilts,4,Share the Wealth,100
